Done By,Document Name,Document Date,Document Type,Document Source,Document Location,Street Address,City,Province,Postal Code,Price,Listing ID,Property Type,Building Type,Storeys,Community Name,Title,Land Size Length,Land Size Length Unit,Land Size Width,Land Size Width Unit,Parking Type,Description,Amenities Nearby,Features,Parking Type,Total Parking Spaces,Basement Features,Basement Type,Bathrooms,Bedrooms Above Grade,Bedrooms Below Grade,Cooling,Exterior Finish,Heating Fuel,Heating Type,Style,Room Level,Room Type,Room Length,Room Length Unit,Room Width,Room Width Unit,Walk Score,Dependence,Realtor Name,Realtor Phone Number,Real Estate Company,Real Estate Address,Real Estate City,Real Estate Province,Real Estate Postal Code,Real Estate Phone Number,Real Estae Fax Number
Robin Wilke,00390948,6/2/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15304256,,137 Gannett Ln,Duncan Cove,NS,B3B3H4,"$4,495,000.00",00390948,Single Family,House,,,Freehold,2.7,Acres,,,,"Whalesback..Dynamic contemporary living perched high on a solid granite cliff overlooking the Atlantic. Soaring ceilings, walls of glass, limestone heated floors, modern
 Soapstone kitchen, elevator, luxurious infinity pool and a separate 2 level fully equipped guest house. Set on 2.7 acres with 450 of bold oceanfront bordering 1800 acres of Crown Land. Library/office loft with panoramic ocean views, bedrooms all have ensuite baths. The master has a private terrace with outdoor fireplace and hot tub, perfect for star gazing. A unique, amazing offering. This private setting is just 25 minutes to Halifax and 45 minutes to the airport.",,"Wooded area, See remarks, Partially cleared, Elevator",,,,,6,3,1,Air exchanger,Stone,Propane,Radiant Heat,Detached,"Second Level
Second Level
Second Level
Third Level
Third Level
Third Level
Third Level
Basement
Basement
Main Level
Main Level
Main Level
Main Level
Main Level","Bedroom
Bath (# pieces 1-6)
Den
Master Bedroom
Bath (# pieces 1-6)
Bedroom
Bath (# pieces 1-6)
Other
Utility Room
Living Room
Kitchen
Dining Room
Bath (# pieces 1-6)
Other","18
ensuite
18
27
ensuite
27
ensuite
Wine Cellar
10
36
21.5
18
6 PC
Sauna","-
-
Loft
-
-
-
-
-
-
-
-
-
-
-","16.5
-
12.5
18
-
18
-
-
10
18
19
12
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-",0,Car Dependent,Rick Foster,902-476-8191,Royal Lepage Atlantic,"7071 Bayers Rd, Ste 102",Halifax,NS,B3L2C2,902-453-1700,902-455-6738
Robin Wilke,05337591,6/1/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15119807,,1191 Route 785,Utopia,NB,E5C2L3,"$9,650,000.00",05337591,Single Family,,,,Freehold,100,Acres,,,"Attached garage, Garage (3), Garage","Finest property in New Brunswick! Modern, luxurious, architectural home takes full advantage of center stage on Lake Utopia in St. George. Panoramic views of the lake, 27,000 sq.ft.under roof and 100+ acres of unspoiled natural beauty. Experience resort-style living with 3 homes, 2 tournament quality outdoor tennis courts, and 1 stadium quality indoor tennis court with state-of-the-art indoor stadium lighting, water park including 2 pools & wading pool with umbrella feature, beach volleyball court, baseball field, custom go-kart track, driving range, indoor basketball court, playground, private dock with boat lift and 3 private beaches. Main home offers expanses of glass flooding the interior with brilliant light, sleek contemporary design, dramatic master suite with custom shower/central tub showcasing unparalleled views, master lanai with drapery screening and built-in Jacuzzi. Two guest homes provide luxurious privacy for visitors enjoying this exquisite estate. Welcome to paradise!",Golf course,Wooded area,"Attached garage, Garage (3), Garage",,,,11,"10 total, locations ",,"Central air conditioning, Air exchanger",Wood Siding,Electric,"Forced air, Heat Pump",Other,,,,,,,0,Car Dependent,Scott Mactavish,506-474-3585,Keller Williams Capital Realty,711A Woodstock Rd,Fredericton,NB,E3B5N8,506-459-3733,506-459-3732
Robin Wilke,10085286,6/1/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=14665234,,6620 Lakeshore Rd,Kelowna,BC,V1W4J5,"$8,975,000.00",10085286,Single Family,House,1.5,,Freehold,6.7302,Hec,,,Attached Garage (3),"Custom built by Edgecombe and perched 16.63 acres with endless lake views is Eagle Mountain Estate. Sprawling 12,800 sq.ft timber frame home with 5 bdrms, 7 bathrooms, 5 fireplaces, geothermal heating/cooling system plus infloor heating throughout. Castle rock & Hardie board siding, Douglas fir timbers throughout with an impressive Port-co-chere to welcome guests. Soaring 30 ft ceilings, granite counters, double island kitchen loaded with stainless steel appliances, gorgeous dining room with floor to ceiling windows, plus dream master bedroom with luxurious ensuite with the lake and city as your backdrop. Home office with private terrace plus guest quarters with everything they need for their enjoyment. Downstairs features a home theatre, temperature controlled wine room, home gym, wet bar, billiards area plus ample storage. The home features a state of the art Crestron system easily controlled by your mobile phone. Tennis court, infinity pool plus dock with electric boat lift!",Park,"Park setting, Private setting, Visual exposure",Attached garage (3),13,Walk out,Full (finished),7,"5 total, locations ",,,Stone,Other,Forced air,,"Second Level
Second Level
Second Level
Second Level
Basement
Basement
Basement
Basement
Basement
Basement
Basement
Basement
Basement
Main Level
Main Level
Main Level
Main Level
Main Level
Main Level
Main Level
Main Level
Main Level
Main Level
Main Level","2pc Bathroom
Den
Bedroom
Full Bathroom
Recreational, Games room
Games room
Wine cellar
Other
Media
Bedroom
Full Bathroom
2pc Bathroom
Storage
Living Room
Dining Room
Kitchen
Foyer
Master Bedroom
Bedroom
Bedroom
Full ensuite bathroom
Full Bathroom
Full Bathroom
Other","3.6575
3.6576
4.2672
-
8.3058
6.2738
4.0386
4.9784
5.6388
4.191
-
-
6.4516
8.5344
5.0292
5.1308
4.572
5.9182
4.2672
4.2672
-
-
-
7.9248","m
m
m
-
m
m
m
m
m
m
-
-
m
m
m
m
m
m
m
m
-
-
-
m","6.604
6.604
4.2672
-
8.3566
10.414
4.6228
9.8044
6.9596
5.6388
-
-
9.144
8.8392
5.3086
5.1816
8.2296
6.3246
4.4196
4.4704
-
-
-
10.2108","m
m
m
-
m
m
m
m
m
m
-
-
m
m
m
m
m
m
m
m
-
-
-
m",0,Car Dependent,Jane Hoffman,250-860-7500,Coldwell Banker Horizon Realty,#14 - 1470 Harvey Ave,Kelowna,BC,V1Y9K8,250-860-7500,250-868-2488
Robin Wilke,11758,,DOCX,,,Emmonds Rd,Powell River,BC,,"$4,100,000.00",11758,Single Family,House,multi,,Freehold,166,Acres,,,,"RARE & SPECTACULAR OCEAN FRONT PACKAGE - This 166 acre parcel has to be the best development property offered on the coast. All gently sloping from beach to the highway. 1800 sq. ft. frontage includes 1100 feet of walk-on beach with incredible south and west outlook. First time offered, this property has been with this family since the 30's. There are 7 titles being sold as 1 package which includes 1 1/2 storey beach front home with full basement and expansive deck, 4300 sq. ft. shop, 6 rental cabins, 11 mobile pad rentals, 10 RV hookups (have had 22 RV's at beach). Over 6000 sq. ft. of greenhouses, great gardens, good water, approximately 1 million in timber value, 2 creeks, approximately 60 acres fenced and lots of other outbuildings. Fabulous opportunity for a resort, RV park, ocean front development, vineyard, or farm/equestrian.",,"Acreage, Private setting, Southern exposure",,,,Full,1,,,,,Wood,,,,,,,,,,,,,,,,,,,
Robin Wilke,131776,,DOCX,,,36 Lake Temagami Island 435,Temagami,ON,P0H2H0,"$6,000,000.00",131776,Single Family,House,1.5,,,20.5,Acres,,,Other,"MAJESTIC AND AWE-INSPIRING ARE THE ONLY WAYS TO DESCRIBING THIS MAGNIFICENT AND UNIQUE LAKE TEMAGAMI ISLAND. THIS RARE JEWEL, CASTLE ISLAND, IS CONSIDERED TO BE THE LARGEST PRIVATELY OWNED ISLAND IN THE TEMAGAMI LAKES SYSTEM. RESTING IN THE SOUTHWEST ARM THIS INCREDIBLE PROPERTY, WITH ITS MANY BAYS AND WALKING TRAILS, IS COMPOSED OF OVER 0VER 20 ACRES OF OLD GROWTH FOREST. THE ISLAND OFFERS THE OWNER THE UTMOST IN TOTAL SOLITUDE AND TRANQUILITY. THE PRIMARY STRUCTURE IS A PRISTINE 2321SQ.FT. FOUR SEASON 3 BEDROOM RESIDENCE, WHICH WAS BUILT IN 1997. IT SITS HIGH ON CASTLE ISLAND. (SEE REMARKS) CONSIDER CASTLE ISLAND AS PART OF YOUR INVESTMENT PORTFOLIO. IT CAN PROVIDE MANY BENEFITS AND OPPORTUNITIES AS A RARE INVESTMENT IN THIS THE LARGEST PRIVATELY OWNED ISLAND IN TEMAGAMI. CONSIDER SEVERING INTO FOUR LOTS OR EVEN CREATING A UNIQUE SUBDIVISION ON THIS AMAZING ISLAND.CONSIDER IT AS A RETREAT FOR YOUR EMPLOYEES OR BUSINESS PARTNERS,YOUR ASSOCIATES,YOUR INVESTORS. ",,,Other,,,,2,,,,,"Wood, other",,Detached,"Second level
Second level
Second level
Main level
Main level
Main level
Main level
Main level
Main level","Bath (# pieces 1-6)
Bedroom
Bedroom
Bath (# pieces 1-6)
Dining Room
Kitchen
Living Room
Master Bedroom
Other","14'5
17'5
13'3
7'10
17'6
11'6
24'2
11'1
24'2",,"4'10
15'2
17'4
7'4
14'3
17'4
30'7
13'7
9'11",,,,,,,,,,,,
Robin Wilke,152912,,DOCX,,,248 Eastside Rd,Okanagan Falls,BC,V0H1R3,"$4,300,000.00",152912,Single Family,House,1,,Freehold,1.6674,Hec,,,"Parking spaces (2), Garage","Absolutely awesome property! One of a kind, Kipper Cove, One of Okanagan's few remaining private estate properties. The most exclusive property available on Skaha Lake. Over 300 ft of incredible lakeshore. Enjoy bathing in your own private bay secluded by rock bluffs. There are two residences on the property, both have been used as summer rentals for the last few years, rental rate would exceed $5000 weekly. Newly constructed to provincial guidelines and fully permitted wharf over 100 ft long. One Cottage has been extensively renovated into a wonderful upscale retreat. Property is deer fenced and gated for security. Potential subdivision possible with addition of an onsite sewer plant. 12 minutes to Penticton, 4 minutes to Okanagan Falls. See Listing Representatives for more details.","Recreation, Public Transit, Golf Course, Airport","Private setting, flat site","Parking spaces (2), garage",,,None (unfinished),1,,,,Wood siding,Electric,Baseboard heaters,Detached,"Main level
Main level
Main level
Main level
Main level
Main level
Main level","Living room
Dining room
Kitchen
Master bedroom
Bedroom
Laundry room
Bathroom (3 pc)","3.048
2.4384
2.7432
2.7432
3.048
2.1336
-","m
m
m
m
m
m
-","4.2672
4.2672
3.048
3.3528
3.048
1.524
-","m
m
m
m
m
m
-",,,,,,,,,,,
Robin Wilke,155317,,DOCX,,,20818 McDougald Rd,Summerland,BC,V0H1Z6,"$4,500,000.00",155317,Single Family,House,2,,Freehold,13.25,Acres,,,"Parking Spaces (3), Garage","Rare opportunity in this extraordinary Okanagan Lake front vineyard and award-winning winery estate! Highlights include a spectacular Mediterranean style home, 70 seat restaurant, wine shop and guest suite. Set on 13.25 acres, with 1000 feet of water frontage, six-slip boat dock and heli-pad there is tremendous potential to create a worldclass exclusive destination to which you can drive, boat, or fly! Call listing representative for more information. Duplicate farm listing #155316",,"Park setting, Farm setting, Embedded oven","Parking Spaces (3), Garage",,,Full (finished),5,,,,Stucco,Propane,Radiant / Infra-red heat,Detached,"-
-
-
-
-
-
-
Main level
Main level
Main level
Main level
Main level
Main level
-
-
-","Other recreational, Games room
Bedroom
Bedroom
Bedroom
Laundry room
Bathroom (4 pc)
Bathroom (4 pc)
Living room
Dining room
Kitchen
Foyer
Master bedroom
Den
Bathroom (4 pc ensuite)
Bathroom (2 pc)
Bathroom (4 pc)","12
12
11
11
9
-
-
20
15
15
9
14
14
-
-
-","ft
ft
ft
ft
ft
-
-
ft
ft
ft
ft
ft
ft
-
-
-","12
12
9
9
8
-
-
18
9
9
8
11
12
-
-
-","ft
ft
ft
ft
ft
-
-
ft
ft
ft
ft
ft
ft
-
-
-",,,,,,,,,,,
Robin Wilke,342920,,DOCX,,,1101 Beach Dr,Victoria,BC,V8S2N2,"$6,899,000.00",342920,Single Family,House,,,Freehold,2.25,Acres,,,Garage,"Situated in one of Oak Bay s most prestigious locations, this elegant English Manor sits on a rare parcel of 2.3 acres of waterfront, with private beach & water access. Sweeping views of Mt. Baker and the Gulf Islands are afforded from almost every room. The restored manor offers the finest of old world charm with modern amenities. The flowing floor plan is ideal for indoor/outdoor living, opening to waterside patios overlooking the beautifully landscaped gardens w/ feature waterfall. The home resonates with a classic beauty enhanced by rich panelling, oak floors, abundant leaded glass, feature gourmet kitchen, & grand dining room with wine cellar. The size of this property makes it a brilliant holding property for the future!
",,"Private setting, Treed, Sloping",Garage,,,,10,,,,,,,Detached,,,,,,,,,,,,,,,,,
Robin Wilke,348418,6/1/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15448812,,3150 Rutland Rd,Victoria,BC,V8R4R8,"$7,500,000.00",348418,Single Family,House,,,Freehold,0.9065,Hec,,,Garage,"VICTORIA'S CROWN JEWEL OF WATERFRONT ESTATES. Nestled on a quiet cove in the exclusive Uplands neighborhood of Oak Bay, this one of a kind, 2.24 ac manicured property offers over 700 ft. of waterfront, including a secluded beach, & 3 islets providing protected seasonal moorage. The timeless mansion, has undergone a graceful multi-million dollar restoration, features generous living spaces, high ceilings, hardwood floors, & world class views from virtually every room. Separate guest acc, wine room, theatre, yoga studio, lap pool & dock, complete the package. Minutes to downtown Victoria, golf courses, marinas, & everything Victoria has to offer, this is a rare once in a lifetime offering. sylvia@sylviatherrien.ca for info.",,"Cul-de-sac, Private setting",Garage,,,,9,7 total,,,,,,Detached,,,,,,,6,Car-dependent,Sylvia Therrien,,Newport Realty,1286 Fairfield Rd,Victoria,BC,V8V4W3,250-385-2033,250-385-3763
Robin Wilke,348608,6/1/2015,PDF,http://www.realtor.ca/propertyDetails.aspx?PropertyId=15462672,,1069 Beach Dr,Victoria,BC,V8S2N2,"$8,999,000.00",348608,Single Family,House,,,Freehold,1.1817,Hec,,,Garage,"It is a privilege and an honour to present this exclusive waterfront estate on Beach Drive in renowned Oak Bay. Over 2.92 acres of waterfront beautifully adorned with stunning gardens, created by the family who founded Victoria's own Butchart Gardens. This magnificent 8,970 square foot stone manor offers spectacular ocean views throughout the principal rooms and master suite. With timeless stone walls and elegant gates, you can be assured the utmost privacy. Walk over 277 feet of waterfront with breathtaking views of San Juan Island and Mt. Baker. In this sought after Beach Drive neighbourhood, you will fall in love with this prestigious 1912 home, which is nestled only steps away from the Victoria Golf Course.",,Private setting,Garage,10,,,8,6 total,,,,,,Detached,,,,,,,28,Car-dependent,Donald St. Germain,,Sotheby's International Realty Canada,752 Douglas St,Victoria,BC,V8W3M6,250-380-3933,250-380-3939
